資料年月	縣市別	鄉鎮市區	郵寄區號	性別	年齡級距	人數
10712	南投縣	中寮鄉	541	男	0歲-4歲	140
10712	南投縣	中寮鄉	541	男	5歲-9歲	163
10712	南投縣	中寮鄉	541	男	10歲-14歲	216
10712	南投縣	中寮鄉	541	男	15歲-19歲	359
10712	南投縣	中寮鄉	541	男	20歲-24歲	451
10712	南投縣	中寮鄉	541	男	25歲-29歲	447
10712	南投縣	中寮鄉	541	男	30歲-34歲	426
10712	南投縣	中寮鄉	541	男	35歲-39歲	516
10712	南投縣	中寮鄉	541	男	40歲-44歲	474
10712	南投縣	中寮鄉	541	男	45歲-49歲	558
10712	南投縣	中寮鄉	541	男	50歲-54歲	838
10712	南投縣	中寮鄉	541	男	55歲-59歲	829
10712	南投縣	中寮鄉	541	男	60歲-64歲	693
10712	南投縣	中寮鄉	541	男	65歲-69歲	555
10712	南投縣	中寮鄉	541	男	70歲-74歲	349
10712	南投縣	中寮鄉	541	男	75歲-79歲	301
10712	南投縣	中寮鄉	541	男	80歲以上	485
10712	南投縣	中寮鄉	541	女	0歲-4歲	131
10712	南投縣	中寮鄉	541	女	5歲-9歲	163
10712	南投縣	中寮鄉	541	女	10歲-14歲	173
10712	南投縣	中寮鄉	541	女	15歲-19歲	337
10712	南投縣	中寮鄉	541	女	20歲-24歲	394
10712	南投縣	中寮鄉	541	女	25歲-29歲	394
10712	南投縣	中寮鄉	541	女	30歲-34歲	344
10712	南投縣	中寮鄉	541	女	35歲-39歲	446
10712	南投縣	中寮鄉	541	女	40歲-44歲	438
10712	南投縣	中寮鄉	541	女	45歲-49歲	441
10712	南投縣	中寮鄉	541	女	50歲-54歲	527
10712	南投縣	中寮鄉	541	女	55歲-59歲	568
10712	南投縣	中寮鄉	541	女	60歲-64歲	473
10712	南投縣	中寮鄉	541	女	65歲-69歲	387
10712	南投縣	中寮鄉	541	女	70歲-74歲	322
10712	南投縣	中寮鄉	541	女	75歲-79歲	386
10712	南投縣	中寮鄉	541	女	80歲以上	669
10712	南投縣	仁愛鄉	546	男	0歲-4歲	473
10712	南投縣	仁愛鄉	546	男	5歲-9歲	470
10712	南投縣	仁愛鄉	546	男	10歲-14歲	392
10712	南投縣	仁愛鄉	546	男	15歲-19歲	459
10712	南投縣	仁愛鄉	546	男	20歲-24歲	517
10712	南投縣	仁愛鄉	546	男	25歲-29歲	602
10712	南投縣	仁愛鄉	546	男	30歲-34歲	518
10712	南投縣	仁愛鄉	546	男	35歲-39歲	619
10712	南投縣	仁愛鄉	546	男	40歲-44歲	624
10712	南投縣	仁愛鄉	546	男	45歲-49歲	529
10712	南投縣	仁愛鄉	546	男	50歲-54歲	647
10712	南投縣	仁愛鄉	546	男	55歲-59歲	657
10712	南投縣	仁愛鄉	546	男	60歲-64歲	547
10712	南投縣	仁愛鄉	546	男	65歲-69歲	406
10712	南投縣	仁愛鄉	546	男	70歲-74歲	194
10712	南投縣	仁愛鄉	546	男	75歲-79歲	117
10712	南投縣	仁愛鄉	546	男	80歲以上	169
10712	南投縣	仁愛鄉	546	女	0歲-4歲	404
10712	南投縣	仁愛鄉	546	女	5歲-9歲	427
10712	南投縣	仁愛鄉	546	女	10歲-14歲	366
10712	南投縣	仁愛鄉	546	女	15歲-19歲	450
10712	南投縣	仁愛鄉	546	女	20歲-24歲	585
10712	南投縣	仁愛鄉	546	女	25歲-29歲	565
