"county","town","health_insurance_population"
"宜蘭縣","三星鄉",20771
"宜蘭縣","大同鄉",5945
"宜蘭縣","五結鄉",38579
"宜蘭縣","冬山鄉",51659
"宜蘭縣","壯圍鄉",23685
"宜蘭縣","宜蘭市",93079
"宜蘭縣","南澳鄉",5646
"宜蘭縣","員山鄉",31435
"宜蘭縣","頭城鎮",28481
"宜蘭縣","礁溪鄉",34668
"宜蘭縣","羅東鎮",70437
"宜蘭縣","蘇澳鎮",38745
"花蓮縣","玉里鎮",23268
"花蓮縣","光復鄉",12303
"花蓮縣","吉安鄉",80902
"花蓮縣","秀林鄉",15136
"花蓮縣","卓溪鄉",5859
"花蓮縣","花蓮市",100738
"花蓮縣","富里鄉",9979
"花蓮縣","新城鄉",19488
"花蓮縣","瑞穗鄉",11253
"花蓮縣","萬榮鄉",6164
"花蓮縣","壽豐鄉",17328
"花蓮縣","鳳林鎮",10500
"花蓮縣","豐濱鄉",4579
"金門縣","金沙鎮",20213
"金門縣","金城鎮",42097
"金門縣","金湖鎮",29053
"金門縣","金寧鄉",30818
"金門縣","烈嶼鄉",12568
"金門縣","烏坵鄉",667
"南投縣","中寮鄉",14393
"南投縣","仁愛鄉",15424
"南投縣","水里鄉",16940
"南投縣","名間鄉",37536
"南投縣","竹山鎮",53409
"南投縣","信義鄉",15692
"南投縣","南投市",97109
"南投縣","埔里鎮",78331
"南投縣","草屯鎮",94828
"南投縣","國姓鄉",18232
"南投縣","魚池鄉",15408
"南投縣","鹿谷鄉",17382
"南投縣","集集鎮",10562
"屏東縣","九如鄉",21560
"屏東縣","三地門鄉",7399
"屏東縣","內埔鄉",52697
"屏東縣","竹田鄉",16669
"屏東縣","牡丹鄉",4750
"屏東縣","車城鄉",8347
"屏東縣","里港鄉",25435
"屏東縣","佳冬鄉",18719
"屏東縣","來義鄉",7181
"屏東縣","東港鎮",46640
"屏東縣","枋山鄉",5354
"屏東縣","枋寮鄉",23785
"屏東縣","林邊鄉",17393
"屏東縣","長治鄉",28974
"屏東縣","南州鄉",10371
"屏東縣","屏東市",194067
"屏東縣","恆春鎮",29788
"屏東縣","春日鄉",4711
"屏東縣","崁頂鄉",15181
"屏東縣","泰武鄉",5192
"屏東縣","琉球鄉",12134
"屏東縣","高樹鄉",23823
"屏東縣","新埤鄉",9761
"屏東縣","新園鄉",34023
"屏東縣","獅子鄉",4722
"屏東縣","萬丹鄉",49480
"屏東縣","萬巒鄉",20016
"屏東縣","滿州鄉",7694
"屏東縣","瑪家鄉",6585
"屏東縣","潮州鎮",52485
"屏東縣","霧臺鄉",3215
"屏東縣","麟洛鄉",10749
"屏東縣","鹽埔鄉",25130
"苗栗縣","三義鄉",15788
"苗栗縣","三灣鄉",6426
"苗栗縣","大湖鄉",14127
"苗栗縣","公館鄉",32406
"苗栗縣","竹南鎮",83855
"苗栗縣","西湖鄉",6871
"苗栗縣","卓蘭鎮",16319
"苗栗縣","南庄鄉",9681
"苗栗縣","後龍鎮",35367
"苗栗縣","苑裡鎮",44197
"苗栗縣","苗栗市",85628
"苗栗縣","泰安鄉",5745
"苗栗縣","通霄鎮",33169
"苗栗縣","造橋鄉",12335
"苗栗縣","獅潭鄉",4226
"苗栗縣","銅鑼鄉",17422
"苗栗縣","頭份市",100098
"苗栗縣","頭屋鄉",10370
"桃園市","八德區",195388
"桃園市","大園區",88235
"桃園市","大溪區",91889
"桃園市","中壢區",398702
"桃園市","平鎮區",219051
"桃園市","桃園區",432363
"桃園市","復興區",11430
"桃園市","新屋區",47896
"桃園市","楊梅區",165059
"桃園市","龍潭區",119209
"桃園市","龜山區",154836
"桃園市","蘆竹區",159338
"桃園市","觀音區",65400
"高雄市","三民區",330952
"高雄市","大社區",33633
"高雄市","大寮區",109224
"高雄市","大樹區",41300
"高雄市","小港區",153387
"高雄市","仁武區",85390
"高雄市","內門區",14154
"高雄市","六龜區",12577
"高雄市","左營區",191034
"高雄市","永安區",13574
"高雄市","田寮區",7010
"高雄市","甲仙區",5868
"高雄市","杉林區",11455
"高雄市","那瑪夏區",3031
"高雄市","岡山區",94491
"高雄市","林園區",67972
"高雄市","阿蓮區",28046
"高雄市","前金區",25636
"高雄市","前鎮區",182772
"高雄市","美濃區",38602
"高雄市","苓雅區",163580
"高雄市","茂林區",1896
"高雄市","茄萣區",29438
"高雄市","桃源區",4119
"高雄市","梓官區",35140
"高雄市","鳥松區",43022
"高雄市","湖內區",29053
"高雄市","新興區",48745
"高雄市","楠梓區",180352
"高雄市","路竹區",51440
"高雄市","鼓山區",135659
"高雄市","旗山區",35714
"高雄市","旗津區",27646
"高雄市","鳳山區",349609
"高雄市","橋頭區",36711
"高雄市","燕巢區",29123
"高雄市","彌陀區",18854
"高雄市","鹽埕區",23019
"基隆市","七堵區",52048
"基隆市","中山區",45786
"基隆市","中正區",49651
"基隆市","仁愛區",42298
"基隆市","安樂區",79714
"基隆市","信義區",50696
"基隆市","暖暖區",37388
"連江縣","北竿鄉",2347
"連江縣","東引鄉",1310
"連江縣","南竿鄉",7409
"連江縣","莒光鄉",1561
"雲林縣","二崙鄉",26387
"雲林縣","口湖鄉",26786
